DATE,PNGASEUUSDM
01/01/1990,1.729999966
01/02/1990,1.729999966
01/03/1990,1.729999966
01/04/1990,2.109999763
01/05/1990,2.109999763
01/06/1990,2.109999763
01/07/1990,1.919999864
01/08/1990,1.919999864
01/09/1990,1.919999864
01/10/1990,2.379999797
01/11/1990,2.379999797
01/12/1990,2.379999797
01/01/1991,2.959999932
01/02/1991,2.959999932
01/03/1991,2.959999932
01/04/1991,3.410000271
01/05/1991,3.410000271
01/06/1991,3.410000271
01/07/1991,3.120000203
01/08/1991,3.120000203
01/09/1991,3.120000203
01/10/1991,2.540000068
01/11/1991,2.540000068
01/12/1991,2.540000068
01/01/1992,2.379999797
01/02/1992,2.379999797
01/03/1992,2.379999797
01/04/1992,2.339999729
01/05/1992,2.339999729
01/06/1992,2.339999729
01/07/1992,2.390000237
01/08/1992,2.390000237
01/09/1992,2.390000237
01/10/1992,2.35000017
01/11/1992,2.35000017
01/12/1992,2.35000017
01/01/1993,2.699999915
01/02/1993,2.699999915
01/03/1993,2.699999915
01/04/1993,2.609999975
01/05/1993,2.599999958
01/06/1993,2.599999958
01/07/1993,2.550000085
01/08/1993,2.550000085
01/09/1993,2.550000085
01/10/1993,2.540000068
01/11/1993,2.540000068
01/12/1993,2.540000068
01/01/1994,2.219999949
01/02/1994,2.219999949
01/03/1994,2.219999949
01/04/1994,2.239999983
01/05/1994,2.239999983
01/06/1994,2.239999983
01/07/1994,2.349999958
01/08/1994,2.349999958
01/09/1994,2.349999958
01/10/1994,2.439999898
01/11/1994,2.439999898
01/12/1994,2.439999898
01/01/1995,2.589999941
01/02/1995,2.589999941
01/03/1995,2.589999941
01/04/1995,2.689999898
01/05/1995,2.689999898
01/06/1995,2.689999898
01/07/1995,2.76944436
01/08/1995,2.76944436
01/09/1995,2.76944436
01/10/1995,2.824999915
01/11/1995,2.689999898
01/12/1995,2.689999898
01/01/1996,2.680000093
01/02/1996,2.680000093
01/03/1996,2.680000093
01/04/1996,2.689999898
01/05/1996,2.689999898
01/06/1996,2.689999898
01/07/1996,2.689999898
01/08/1996,2.689999898
01/09/1996,2.689999898
01/10/1996,2.939999898
01/11/1996,2.939999898
01/12/1996,2.939999898
01/01/1997,3
01/02/1997,2.944444444
01/03/1997,2.760000017
01/04/1997,2.729999966
01/05/1997,2.729999966
01/06/1997,2.729999966
01/07/1997,2.599999958
01/08/1997,2.599999958
01/09/1997,2.599999958
01/10/1997,2.449999915
01/11/1997,2.449999915
01/12/1997,2.449999915
01/01/1998,2.489999983
01/02/1998,2.489999983
01/03/1998,2.489999983
01/04/1998,2.369999992
01/05/1998,2.369999992
01/06/1998,2.369999992
01/07/1998,2.209999932
01/08/1998,2.209999932
01/09/1998,2.209999932
01/10/1998,1.910000059
01/11/1998,1.910000059
01/12/1998,1.910000059
01/01/1999,1.788888889
01/02/1999,1.788888889
01/03/1999,1.788888889
01/04/1999,1.67
01/05/1999,1.67
01/06/1999,1.67
01/07/1999,1.73
01/08/1999,1.73
01/09/1999,1.73
01/10/1999,2.038888889
01/11/1999,2.038888889
01/12/1999,2.038888889
01/01/2000,3.055555556
01/02/2000,3.055555556
01/03/2000,3.055555556
01/04/2000,3.24
01/05/2000,3.24
01/06/2000,3.24
01/07/2000,3.59
01/08/2000,3.59
01/09/2000,3.59
01/10/2000,3.93
01/11/2000,3.93
01/12/2000,3.93
01/01/2001,4.22
01/02/2001,4.22
01/03/2001,4.22
01/04/2001,4.26
01/05/2001,4.26
01/06/2001,4.26
01/07/2001,3.78
01/08/2001,3.78
01/09/2001,3.78
01/10/2001,3.24
01/11/2001,3.24
01/12/2001,3.218571429
01/01/2002,2.79
01/02/2002,2.79
01/03/2002,2.79
01/04/2002,2.56
01/05/2002,2.56
01/06/2002,2.56
01/07/2002,2.52
01/08/2002,2.52
01/09/2002,2.532380952
